  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoilboi                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.350     Re =     2.067 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0001   0.00530   0.00088   0.0000   0.5439   0.5440
   0.500   0.0541   0.00532   0.00090   0.0016   0.4955   0.5926
   1.000   0.1081   0.00538   0.00094   0.0032   0.4459   0.6403
   1.500   0.1618   0.00546   0.00101   0.0049   0.3980   0.6883
   2.000   0.2147   0.00557   0.00112   0.0068   0.3486   0.7365
   2.500   0.2671   0.00573   0.00126   0.0088   0.2996   0.7824
   3.500   0.3712   0.00622   0.00167   0.0132   0.2042   0.8658
   4.000   0.4241   0.00656   0.00196   0.0153   0.1603   0.9015
   4.500   0.4798   0.00696   0.00229   0.0168   0.1227   0.9308
   5.000   0.5409   0.00744   0.00270   0.0172   0.0916   0.9529
